Country Name,Cause,Deaths2
Brazil,C20,16
Brazil,R99,14
Brazil,C23,14
Brazil,N19,14
Argentina,I609,14
Argentina,I248,14
Turkey,I10,13
Argentina,J690,13
Argentina,I64,12
Brazil,R54,12
Argentina,I442,12
Argentina,I330,12
Brazil,C169,12
Argentina,I639,12
Brazil,K831,12
Argentina,I694,12
Argentina,I420,12
Brazil,K729,11
Brazil,N119,11
Turkey,I219,11
Brazil,N10,11
Argentina,I679,11
Brazil,C19,11
Argentina,I211,11
Brazil,C186,11
Argentina,I614,10
Mexico,J42,10
Brazil,C341,10
Argentina,I850,10
Brazil,C819,10
Mexico,I619,10
Brazil,E86,10
Turkey,C64,10
Brazil,K567,10
Argentina,I620,10
Argentina,J47,10
Argentina,J449,10
Brazil,K859,10
Argentina,C189,10
Argentina,C900,10
Argentina,C160,10
Brazil,K290,10
Turkey,E142,10
Brazil,C221,10
Brazil,C411,10
Brazil,C809,10
Argentina,I251,10
Argentina,G309,10
Brazil,J90,10
Brazil,G35,10
Brazil,J209,10
Turkey,I489,10
Brazil,I050,10
Argentina,I119,10
Argentina,I259,10
Turkey,I509,10
Brazil,AAA,10
Brazil,J81,10
Brazil,I10,10
Brazil,G20,10
United States of America,Q249,9
Brazil,K922,9
Argentina,I059,9
Brazil,C222,9
Argentina,I710,9
Brazil,K709,9
Brazil,I679,9
Argentina,I426,9
Argentina,G931,9
Argentina,I130,9
Brazil,K743,9
Brazil,C240,9
Turkey,C73,9
Argentina,C180,9
Brazil,B181,9
Argentina,C19,9
Turkey,C809,9
Argentina,I674,9
Mexico,J40,9
Brazil,C829,9
Brazil,C713,9
Brazil,E145,9
Argentina,AAA,9
Argentina,I519,9
Brazil,C172,9
Brazil,C184,9
"United Kingdom, England and Wales",J188,9
Brazil,G122,9
Brazil,C64,9
Mexico,I630,9
Argentina,I255,9
Argentina,C140,9
Argentina,I209,9
Argentina,K746,9
Argentina,I131,9
Mexico,D329,8
Brazil,I213,8
Spain,W780,8
Turkey,C259,8
Brazil,C833,8
Argentina,N390,8
Spain,W790,8
Brazil,C910,8
Argentina,N185,8
Brazil,C911,8
Brazil,C920,8
Spain,W730,8
Brazil,F03,8
Brazil,R959,8
Argentina,C210,8
Mexico,C443,8
Turkey,I420,8
Brazil,E889,8
Turkey,I429,8
Spain,X780,8
Republic of Korea,G009,8
Brazil,X319,8
Brazil,E119,8
Brazil,E112,8
Argentina,C459,8
Brazil,E105,8
United States of America,K760,8
Turkey,I619,8
Turkey,E149,8
Argentina,R99,8
Brazil,G409,8
Brazil,G809,8
Turkey,E119,8
Argentina,C170,8
Brazil,Q790,8
Argentina,C184,8
Spain,W860,8
Spain,X994,8
Brazil,C261,8
Brazil,C719,8
Argentina,I425,8
"United Kingdom, England and Wales",J159,8
"United Kingdom, England and Wales",J180,8
Argentina,I269,8
Argentina,I272,8
Argentina,I38,8
Brazil,C162,8
Argentina,I429,8
Mexico,I718,8
Mexico,G309,8
Argentina,I459,8
Argentina,I489,8
Brazil,C180,8
Argentina,I499,8
Argentina,I515,8
Argentina,I219,8
Argentina,I208,8
Mexico,G459,8
Argentina,I080,8
Paraguay,I64,8
Argentina,G936,8
Argentina,G934,8
Argentina,G700,8
Argentina,G610,8
Mexico,G711,8
"United Kingdom, England and Wales",I802,8
Argentina,G35,8
Mexico,I110,8
Mexico,I060,8
Brazil,A419,8
Ecuador,K562,8
Brazil,A099,8
Argentina,I517,8
"United Kingdom, England and Wales",J81,8
Brazil,C183,8
Brazil,C348,8
Ecuador,J22,8
Brazil,C509,8
Mexico,I635,8
Brazil,C444,8
Mexico,I629,8
Argentina,J80,8
Mexico,I615,8
Mexico,I613,8
Argentina,J459,8
Brazil,C410,8
Mexico,I610,8
Ecuador,R54,8
Argentina,C809,8
Brazil,C349,8
Brazil,I229,8
Brazil,C185,8
Brazil,C259,8
Argentina,I770,8
Brazil,C250,8
Argentina,C910,8
Brazil,C241,8
Argentina,C920,8
Argentina,I709,8
Brazil,C220,8
Republic of Korea,C717,8
Argentina,I671,8
Brazil,C189,8
Argentina,I629,8
Argentina,I613,8
Argentina,I610,8
Brazil,I219,8
Argentina,C20,8
Brazil,M349,8
Spain,K746,8
Brazil,M069,8
Brazil,J849,8
Brazil,I639,8
Brazil,K650,8
Spain,W190,8
Brazil,J448,8
Brazil,K658,8
Brazil,K631,8
Brazil,M329,8
Mexico,P77,8
Brazil,J441,8
Brazil,I694,8
Brazil,K460,8
Brazil,K750,8
Brazil,I638,8
Spain,W698,8
Brazil,N309,8
Mexico,C19,8
Brazil,N189,8
Brazil,N179,8
Brazil,J449,8
Brazil,N12,8
Mexico,N133,8
Mexico,P369,8
Brazil,I249,8
Mexico,N12,8
Portugal,Q336,8
Brazil,N039,8
Brazil,N136,7
United States of America,J180,7
United States of America,K650,7
Brazil,C181,7
Czech Republic,W748,7
Czech Republic,W749,7
Spain,Y349,7
Brazil,N059,7
Spain,W180,7
United States of America,J182,7
Argentina,I501,7
Portugal,Q211,7
United States of America,J189,7
Paraguay,J129,7
Mexico,J90,7
"United Kingdom, England and Wales",J189,7
Brazil,E669,7
Mexico,I350,7
Mexico,I351,7
United States of America,K859,7
Argentina,I249,7
Brazil,K251,7
Brazil,K255,7
Argentina,X599,7
Argentina,I258,7
Argentina,I270,7
Ecuador,P369,7
"United Kingdom, England and Wales",J209,7
Brazil,D763,7
Brazil,N170,7
Argentina,I279,7
Argentina,I309,7
Spain,X998,7
Argentina,I340,7
Argentina,I350,7
Argentina,I421,7
United States of America,Y099,7
Brazil,E050,7
Argentina,J849,7
Brazil,K430,7
Argentina,C187,7
Argentina,I616,7
Brazil,M869,7
"United Kingdom, England and Wales",G409,7
Brazil,C73,7
Hungary,AAA,7
Turkey,AAA,7
Brazil,K819,7
Brazil,C383,7
Argentina,J150,7
Brazil,C712,7
Argentina,J181,7
Brazil,C65,7
Nicaragua,I514,7
United States of America,C029,7
Brazil,C402,7
Argentina,I601,7
Brazil,C409,7
Mexico,M45,7
Mexico,I678,7
Brazil,C492,7
Brazil,C414,7
Argentina,J448,7
Brazil,K921,7
Brazil,C442,7
Brazil,K929,7
Argentina,J869,7
Mexico,I620,7
Brazil,C749,7
Brazil,C329,7
Brazil,K803,7
Argentina,C449,7
Brazil,K550,7
Czech Republic,N189,7
Argentina,I608,7
Brazil,K562,7
Czech Republic,X470,7
Argentina,I619,7
Argentina,I633,7
Panama,Q899,7
United States of America,Q250,7
Paraguay,G710,7
Spain,R99,7
Turkey,C800,7
Turkey,C760,7
Argentina,I698,7
Brazil,I471,7
Brazil,K704,7
Brazil,C229,7
Turkey,C509,7
Portugal,P369,7
Turkey,C20,7
Argentina,I740,7
Argentina,K922,7
Brazil,C252,7
Brazil,C099,7
Argentina,J841,7
Brazil,Q613,7
Czech Republic,AAA,7
Turkey,I269,7
Mexico,K830,7
Brazil,J841,7
Brazil,Q212,7
Brazil,P832,7
Spain,W748,7
Ecuador,R98,7
Argentina,F03,7
Brazil,N289,7
Brazil,J46,7
Spain,W760,7
Brazil,C029,7
Turkey,I251,7
Mexico,H602,7
Mexico,L031,7
Mexico,L039,7
Romania,P073,7
Argentina,G312,7
Turkey,I500,7
Argentina,A162,7
Turkey,I501,7
Brazil,I089,7
Ecuador,V041,7
Mexico,P239,7
Turkey,I258,7
Argentina,G919,7
Spain,W200,7
Argentina,G318,7
Spain,W199,7
Brazil,P369,7
Brazil,C07,7
Brazil,B24,7
Turkey,I120,7
Brazil,J852,7
Turkey,I132,7
Mexico,I120,7
Brazil,Q897,7
Turkey,I248,7
Brazil,G931,7
Brazil,P239,7
Brazil,C069,7
Romania,K269,6
"United Kingdom, England and Wales",G934,6
United States of America,Q336,6
Argentina,G311,6
Mexico,I471,6
Brazil,B029,6
Mexico,M726,6
Argentina,I802,6
Chile,C419,6
Brazil,J439,6
Brazil,K802,6
Brazil,B182,6
Republic of Korea,I829,6
Chile,E780,6
Argentina,G20,6
Mexico,I119,6
Brazil,K721,6
Cuba,C925,6
Argentina,I715,6
Brazil,K745,6
Brazil,K746,6
Mexico,Q249,6
Brazil,C248,6
Cuba,D65,6
Brazil,B207,6
Argentina,I711,6
Brazil,K759,6
Brazil,I690,6
Panama,C66,6
Ecuador,K358,6
Brazil,I693,6
Brazil,C251,6
