Code,Frmat Code 1,Frmat Code 2,Frmat Code 3,Frmat Code 4,Frmat Code 5,Frmat Code 6,Frmat Code 7,Frmat Code 8,Frmat Code 9
Pop1,Entire Population,Entire Population,Entire Population,Entire Population,Entire Population,Entire Population,Entire Population,Entire Population,Entire Population
Pop2,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,
Pop3,1 Year,1-4 Years,1 Year,1-4 Years,1-4 Years,1-4 Years,1-4 Years,1-4 Years,
Pop4,2 Years,,2 Years,,,,,,
Pop5,3 Years,,3 Years,,,,,,
Pop6,4 Years,,4 Years,,,,,,
Pop7,5-9 Years,5-9 Years,5-9 Years,5-9 Years,5-9 Years,5-9 Years,5-14 Years,5-14 Years,
Pop8,10-14 Years,10-14 Years,10-14 Years,10-14 Years,10-14 Years,10-14 Years,,,
Pop9,15-19 Years,15-19 Years,15-19 Years,15-19 Years,15-19 Years,15-19 Years,15-24 Years,15-24 Years,
Pop10,20-24 Years,20-24 Years,20-24 Years,20-24 Years,20-24 Years,20-24 Years,,,
Pop11,25-29 Years,25-29 Years,25-29 Years,25-29 Years,25-29 Years,25-29 Years,25-34 Years,25-34 Years,
Pop12,30-34 Years,30-34 Years,30-34 Years,30-34 Years,30-34 Years,30-34 Years,,,
Pop13,35-39 Years,35-39 Years,35-39 Years,35-39 Years,35-39 Years,35-39 Years,35-44 Years,35-44 Years,
Pop14,40-44 Years,40-44 Years,40-44 Years,40-44 Years,40-44 Years,40-44 Years,,,
Pop15,45-49 Years,45-49 Years,45-49 Years,45-49 Years,45-49 Years,45-49 Years,45-54 Years,45-54 Years,
Pop16,50-54 Years,50-54 Years,50-54 Years,50-54 Years,50-54 Years,50-54 Years,,,
Pop17,55-59 Years,55-59 Years,55-59 Years,55-59 Years,55-59 Years,55-59 Years,55-64 Years,55-64 Years,
Pop18,60-64 Years,60-64 Years,60-64 Years,60-64 Years,60-64 Years,60-64 Years,,,
Pop19,65-69 Years,65-69 Years,65-69 Years,65-69 Years,65-69 Years,65-69 Years,65-69 Years,>= 65 Years,
Pop20,70-74 Years,70-74 Years,70-74 Years,70-74 Years,>= 70 Years,,,,
Pop21,75-79 Years,75-79 Years,>= 75 Years,>= 75 Years,,,>= 75 Years,,
Pop22,80-84 Years,80-84 Years,,,,,,,
Pop23,>= 85 Years,>= 85 Years,,,,,,,
Pop24,,,,,,,,,
Pop25,,,,,,,,,
Pop26,Age Unspecified,Age Unspecified,Age Unspecified,Age Unspecified,Age Unspecified,Age Unspecified,Age Unspecified,Age Unspecified,
Lb,Live births,Live births,Live births,Live births,Live births,Live births,Live births,Live births,
